id,victim_id,victim_guild_id,victim_level,attacker_id,attacker_guild_id,attacker_level,zone_id,killed_at,killmail_raw_id
"330,208,"""","""",209,"""","""",21,""2018-07-29 22:41:33+02"",330"
"331,122,2,"""",171,"""","""",9,""2018-07-29 22:34:24+02"",331"
"332,126,2,"""",10,1,"""",32,""2018-07-29 22:28:01+02"",332"
"333,210,2,"""",61,"""","""",21,""2018-07-29 22:26:09+02"",333"
"334,4,1,"""",42,2,"""",11,""2018-07-29 22:22:02+02"",334"
"335,87,1,"""",211,2,"""",40,""2018-07-29 22:18:06+02"",335"
"336,126,2,"""",10,1,"""",13,""2018-07-29 22:14:48+02"",336"
"337,126,2,"""",10,1,"""",13,""2018-07-29 21:54:52+02"",337"
"338,212,"""","""",213,"""","""",26,""2018-07-29 20:53:22+02"",338"
"339,66,"""","""",214,15,"""",10,""2018-07-29 20:49:47+02"",339"
"340,215,2,"""",61,"""","""",19,""2018-07-29 20:44:51+02"",340"
"341,216,1,"""",217,16,"""",41,""2018-07-29 20:16:54+02"",341"
"342,182,6,"""",22,"""","""",6,""2018-07-29 20:15:47+02"",342"
"343,216,1,"""",217,16,"""",41,""2018-07-29 20:13:20+02"",343"
"344,216,1,"""",217,16,"""",41,""2018-07-29 20:09:12+02"",344"
"345,167,14,"""",218,2,"""",13,""2018-07-29 20:08:48+02"",345"
"346,93,2,"""",44,9,"""",13,""2018-07-29 20:04:53+02"",346"
"347,182,6,"""",201,"""","""",6,""2018-07-29 19:57:55+02"",347"
"348,132,3,"""",61,"""","""",34,""2018-07-29 19:37:32+02"",348"
"349,219,"""","""",72,"""","""",11,""2018-07-29 19:31:44+02"",349"
"350,219,"""","""",72,"""","""",11,""2018-07-29 19:30:59+02"",350"
"351,220,"""","""",72,"""","""",11,""2018-07-29 19:30:35+02"",351"
"352,220,"""","""",72,"""","""",11,""2018-07-29 19:29:45+02"",352"
"353,219,"""","""",72,"""","""",11,""2018-07-29 19:29:13+02"",353"
