KB,D,HK,DD,HD
4,5,25,48198,12318
2,4,19,21789,3138
5,4,45,51237,17310
5,4,31,73418,9144
4,3,29,53194,10249
8,7,42,83612,32570
0,7,14,36666,19184
4,2,13,24047,7801
7,6,30,77737,11825
0,6,43,20857,190000
3,3,17,21081,2176
7,4,37,82055,11900
7,4,37,82055,11900
6,6,40,106000,15191
10,8,34,113000,40541
5,3,45,43361,56030
0,3,36,1112,131000
7,4,46,110000,18815
1,3,12,12491,776
6,6,29,48068,12530
3,5,44,50097,12874
4,4,31,32712,23882
0,2,7,19628,776
2,1,12,23856,7983
1,0,12,31701,33958
